dato,skole,elevdag,laererdag,sfodag,kommentar
2017-03-14,Kristianlyst skole,Ja,Ja,Nei,
2017-03-15,Kristianlyst skole,Ja,Ja,Nei,
2017-03-16,Kristianlyst skole,Ja,Ja,Nei,
2017-03-17,Kristianlyst skole,Ja,Ja,Nei,
2017-03-18,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-03-19,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-03-20,Kristianlyst skole,Ja,Ja,Nei,
2017-03-21,Kristianlyst skole,Ja,Ja,Nei,
2017-03-22,Kristianlyst skole,Ja,Ja,Nei,
2017-03-23,Kristianlyst skole,Ja,Ja,Nei,
2017-03-24,Kristianlyst skole,Ja,Ja,Nei,
2017-03-25,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-03-26,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-03-27,Kristianlyst skole,Ja,Ja,Nei,
2017-03-28,Kristianlyst skole,Ja,Ja,Nei,
2017-03-29,Kristianlyst skole,Ja,Ja,Nei,
2017-03-30,Kristianlyst skole,Ja,Ja,Nei,
2017-03-31,Kristianlyst skole,Ja,Ja,Nei,
2017-04-01,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-04-02,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-04-03,Kristianlyst skole,Ja,Ja,Nei,
2017-04-04,Kristianlyst skole,Ja,Ja,Nei,
2017-04-05,Kristianlyst skole,Ja,Ja,Nei,
2017-04-06,Kristianlyst skole,Ja,Ja,Nei,
2017-04-07,Kristianlyst skole,Ja,Ja,Nei,
2017-04-08,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-04-09,Kristianlyst skole,Nei,Nei,Nei,Palmesøndag
2017-04-10,Kristianlyst skole,Nei,Nei,Nei,Påskeferie
2017-04-11,Kristianlyst skole,Nei,Nei,Nei,Påskeferie
2017-04-12,Kristianlyst skole,Nei,Nei,Nei,Påskeferie
2017-04-13,Kristianlyst skole,Nei,Nei,Nei,Skjærtorsdag
2017-04-14,Kristianlyst skole,Nei,Nei,Nei,Langfredag
2017-04-15,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-04-16,Kristianlyst skole,Nei,Nei,Nei,1. påskedag
2017-04-17,Kristianlyst skole,Nei,Nei,Nei,2. påskedag
2017-04-18,Kristianlyst skole,Nei,Nei,Nei,
2017-04-19,Kristianlyst skole,Ja,Ja,Nei,
2017-04-20,Kristianlyst skole,Ja,Ja,Nei,
2017-04-21,Kristianlyst skole,Ja,Ja,Nei,
2017-04-22,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-04-23,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-04-24,Kristianlyst skole,Ja,Ja,Nei,
2017-04-25,Kristianlyst skole,Ja,Ja,Nei,
2017-04-26,Kristianlyst skole,Ja,Ja,Nei,
2017-04-27,Kristianlyst skole,Ja,Ja,Nei,
2017-04-28,Kristianlyst skole,Ja,Ja,Nei,
2017-04-29,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-04-30,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-05-01,Kristianlyst skole,Nei,Nei,Nei,Off. Høytidsdag
2017-05-02,Kristianlyst skole,Ja,Ja,Nei,
2017-05-03,Kristianlyst skole,Ja,Ja,Nei,
2017-05-04,Kristianlyst skole,Ja,Ja,Nei,
2017-05-05,Kristianlyst skole,Ja,Ja,Nei,
2017-05-06,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-05-07,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-05-08,Kristianlyst skole,Ja,Ja,Nei,
2017-05-09,Kristianlyst skole,Ja,Ja,Nei,
2017-05-10,Kristianlyst skole,Ja,Ja,Nei,
2017-05-11,Kristianlyst skole,Ja,Ja,Nei,
2017-05-12,Kristianlyst skole,Ja,Ja,Nei,
2017-05-13,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-05-14,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-05-15,Kristianlyst skole,Ja,Ja,Nei,
2017-05-16,Kristianlyst skole,Ja,Ja,Nei,
2017-05-17,Kristianlyst skole,Nei,Nei,Nei,Grunnlovsdag
2017-05-18,Kristianlyst skole,Ja,Ja,Nei,
2017-05-19,Kristianlyst skole,Ja,Ja,Nei,
2017-05-20,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-05-21,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-05-22,Kristianlyst skole,Ja,Ja,Nei,
2017-05-23,Kristianlyst skole,Ja,Ja,Nei,
2017-05-24,Kristianlyst skole,Ja,Ja,Nei,
2017-05-25,Kristianlyst skole,Nei,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kristianlyst skole,Nei,Ja,Nei,Planleggingsdag
2017-05-27,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-05-28,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-05-29,Kristianlyst skole,Ja,Ja,Nei,
2017-05-30,Kristianlyst skole,Ja,Ja,Nei,
2017-05-31,Kristianlyst skole,Ja,Ja,Nei,
2017-06-01,Kristianlyst skole,Ja,Ja,Nei,
2017-06-02,Kristianlyst skole,Ja,Ja,Nei,
2017-06-03,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-06-04,Kristianlyst skole,Nei,Nei,Nei,1. pinsedag
2017-06-05,Kristianlyst skole,Nei,Nei,Nei,2. pinsedag
2017-06-06,Kristianlyst skole,Ja,Ja,Nei,
2017-06-07,Kristianlyst skole,Ja,Ja,Nei,
2017-06-08,Kristianlyst skole,Ja,Ja,Nei,
2017-06-09,Kristianlyst skole,Ja,Ja,Nei,
2017-06-10,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-06-11,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-06-12,Kristianlyst skole,Ja,Ja,Nei,
2017-06-13,Kristianlyst skole,Ja,Ja,Nei,
2017-06-14,Kristianlyst skole,Ja,Ja,Nei,
2017-06-15,Kristianlyst skole,Ja,Ja,Nei,
2017-06-16,Kristianlyst skole,Ja,Ja,Nei,
2017-06-17,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-06-18,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-06-19,Kristianlyst skole,Ja,Ja,Nei,
2017-06-20,Kristianlyst skole,Ja,Ja,Nei,
2017-06-21,Kristianlyst skole,Ja,Ja,Nei,siste skoledag
2017-06-22,Kristianlyst skole,Nei,Ja,Nei,
2017-06-23,Kristianlyst skole,Nei,Nei,Nei,
2017-06-24,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-06-25,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-06-26,Kristianlyst skole,Nei,Nei,Nei,
2017-06-27,Kristianlyst skole,Nei,Nei,Nei,
2017-06-28,Kristianlyst skole,Nei,Nei,Nei,
2017-06-29,Kristianlyst skole,Nei,Nei,Nei,
2017-06-30,Kristianlyst skole,Nei,Nei,Nei,
2017-07-01,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-07-02,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-07-03,Kristianlyst skole,Nei,Nei,Nei,
2017-07-04,Kristianlyst skole,Nei,Nei,Nei,
2017-07-05,Kristianlyst skole,Nei,Nei,Nei,
2017-07-06,Kristianlyst skole,Nei,Nei,Nei,
2017-07-07,Kristianlyst skole,Nei,Nei,Nei,
2017-07-08,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-07-09,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-07-10,Kristianlyst skole,Nei,Nei,Nei,
2017-07-11,Kristianlyst skole,Nei,Nei,Nei,
2017-07-12,Kristianlyst skole,Nei,Nei,Nei,
2017-07-13,Kristianlyst skole,Nei,Nei,Nei,
2017-07-14,Kristianlyst skole,Nei,Nei,Nei,
2017-07-15,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-07-16,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-07-17,Kristianlyst skole,Nei,Nei,Nei,
2017-07-18,Kristianlyst skole,Nei,Nei,Nei,
2017-07-19,Kristianlyst skole,Nei,Nei,Nei,
2017-07-20,Kristianlyst skole,Nei,Nei,Nei,
2017-07-21,Kristianlyst skole,Nei,Nei,Nei,
2017-07-22,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-07-23,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-07-24,Kristianlyst skole,Nei,Nei,Nei,
2017-07-25,Kristianlyst skole,Nei,Nei,Nei,
2017-07-26,Kristianlyst skole,Nei,Nei,Nei,
2017-07-27,Kristianlyst skole,Nei,Nei,Nei,
2017-07-28,Kristianlyst skole,Nei,Nei,Nei,
2017-07-29,Kristianlyst skole,Nei,Nei,Nei,Lørdag
2017-07-30,Kristianlyst skole,Nei,Nei,Nei,Søndag
2017-07-31,Kristianlyst skole,Nei,Nei,Nei,
2016-08-01,Kvaleberg skole,Nei,Nei,Nei,Planleggingsdag
2016-08-02,Kvaleberg skole,Nei,Nei,Nei,Planleggingsdag
2016-08-03,Kvaleberg skole,Nei,Nei,Ja,første dag - sfo
2016-08-04,Kvaleberg skole,Nei,Nei,Ja,
2016-08-05,Kvaleberg skole,Nei,Nei,Ja,
2016-08-06,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-08-07,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-08-08,Kvaleberg skole,Nei,Nei,Ja,
2016-08-09,Kvaleberg skole,Nei,Nei,Ja,
2016-08-10,Kvaleberg skole,Nei,Nei,Ja,
2016-08-11,Kvaleberg skole,Nei,Nei,Ja,
2016-08-12,Kvaleberg skole,Nei,Nei,Ja,
2016-08-13,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-08-14,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-08-15,Kvaleberg skole,Nei,Ja,Ja,Planleggingsdag
2016-08-16,Kvaleberg skole,Nei,Ja,Ja,Planleggingsdag
2016-08-17,Kvaleberg skole,Nei,Ja,Nei,Planleggingsdag
2016-08-18,Kvaleberg skole,Ja,Ja,Ja,første skoledag
2016-08-19,Kvaleberg skole,Ja,Ja,Ja,
2016-08-20,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-08-21,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-08-22,Kvaleberg skole,Ja,Ja,Ja,
2016-08-23,Kvaleberg skole,Ja,Ja,Ja,
2016-08-24,Kvaleberg skole,Ja,Ja,Ja,
2016-08-25,Kvaleberg skole,Ja,Ja,Ja,
2016-08-26,Kvaleberg skole,Ja,Ja,Ja,
2016-08-27,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-08-28,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-08-29,Kvaleberg skole,Ja,Ja,Ja,
2016-08-30,Kvaleberg skole,Ja,Ja,Ja,
2016-08-31,Kvaleberg skole,Ja,Ja,Ja,
2016-09-01,Kvaleberg skole,Ja,Ja,Ja,
2016-09-02,Kvaleberg skole,Ja,Ja,Ja,
2016-09-03,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-09-04,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-09-05,Kvaleberg skole,Ja,Ja,Ja,
2016-09-06,Kvaleberg skole,Ja,Ja,Ja,
2016-09-07,Kvaleberg skole,Ja,Ja,Ja,
2016-09-08,Kvaleberg skole,Ja,Ja,Ja,
2016-09-09,Kvaleberg skole,Ja,Ja,Ja,
2016-09-10,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-09-11,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-09-12,Kvaleberg skole,Ja,Ja,Ja,
2016-09-13,Kvaleberg skole,Ja,Ja,Ja,
2016-09-14,Kvaleberg skole,Ja,Ja,Ja,
2016-09-15,Kvaleberg skole,Ja,Ja,Ja,
2016-09-16,Kvaleberg skole,Ja,Ja,Ja,
2016-09-17,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-09-18,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-09-19,Kvaleberg skole,Ja,Ja,Ja,
2016-09-20,Kvaleberg skole,Ja,Ja,Ja,
2016-09-21,Kvaleberg skole,Ja,Ja,Ja,
2016-09-22,Kvaleberg skole,Ja,Ja,Ja,
2016-09-23,Kvaleberg skole,Ja,Ja,Ja,
2016-09-24,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-09-25,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-09-26,Kvaleberg skole,Ja,Ja,Ja,
2016-09-27,Kvaleberg skole,Ja,Ja,Ja,
2016-09-28,Kvaleberg skole,Ja,Ja,Ja,
2016-09-29,Kvaleberg skole,Ja,Ja,Ja,
2016-09-30,Kvaleberg skole,Ja,Ja,Ja,
2016-10-01,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-10-02,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-10-03,Kvaleberg skole,Ja,Ja,Ja,
2016-10-04,Kvaleberg skole,Ja,Ja,Ja,
2016-10-05,Kvaleberg skole,Ja,Ja,Ja,
2016-10-06,Kvaleberg skole,Ja,Ja,Ja,
2016-10-07,Kvaleberg skole,Ja,Ja,Ja,
2016-10-08,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-10-09,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-10-10,Kvaleberg skole,Nei,Nei,Ja,Høstferie
2016-10-11,Kvaleberg skole,Nei,Nei,Ja,Høstferie
2016-10-12,Kvaleberg skole,Nei,Nei,Ja,Høstferie
2016-10-13,Kvaleberg skole,Nei,Nei,Ja,Høstferie
2016-10-14,Kvaleberg skole,Nei,Nei,Ja,Høstferie
2016-10-15,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-10-16,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-10-17,Kvaleberg skole,Ja,Ja,Ja,
2016-10-18,Kvaleberg skole,Ja,Ja,Ja,
2016-10-19,Kvaleberg skole,Ja,Ja,Ja,
2016-10-20,Kvaleberg skole,Ja,Ja,Ja,
2016-10-21,Kvaleberg skole,Ja,Ja,Ja,
2016-10-22,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-10-23,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-10-24,Kvaleberg skole,Ja,Ja,Ja,
2016-10-25,Kvaleberg skole,Ja,Ja,Ja,
2016-10-26,Kvaleberg skole,Ja,Ja,Ja,
2016-10-27,Kvaleberg skole,Ja,Ja,Ja,
2016-10-28,Kvaleberg skole,Ja,Ja,Ja,
2016-10-29,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-10-30,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-10-31,Kvaleberg skole,Ja,Ja,Ja,
2016-11-01,Kvaleberg skole,Ja,Ja,Ja,
2016-11-02,Kvaleberg skole,Ja,Ja,Ja,
2016-11-03,Kvaleberg skole,Ja,Ja,Ja,
2016-11-04,Kvaleberg skole,Ja,Ja,Ja,
2016-11-05,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-11-06,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-11-07,Kvaleberg skole,Ja,Ja,Ja,
2016-11-08,Kvaleberg skole,Ja,Ja,Ja,
2016-11-09,Kvaleberg skole,Ja,Ja,Ja,
2016-11-10,Kvaleberg skole,Ja,Ja,Ja,
2016-11-11,Kvaleberg skole,Ja,Ja,Ja,
2016-11-12,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-11-13,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-11-14,Kvaleberg skole,Ja,Ja,Ja,
2016-11-15,Kvaleberg skole,Ja,Ja,Ja,
2016-11-16,Kvaleberg skole,Ja,Ja,Ja,
2016-11-17,Kvaleberg skole,Nei,Ja,Nei,Planleggingsdag
2016-11-18,Kvaleberg skole,Nei,Ja,Nei,Planleggingsdag
2016-11-19,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-11-20,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-11-21,Kvaleberg skole,Ja,Ja,Ja,
2016-11-22,Kvaleberg skole,Ja,Ja,Ja,
2016-11-23,Kvaleberg skole,Ja,Ja,Ja,
2016-11-24,Kvaleberg skole,Ja,Ja,Ja,
2016-11-25,Kvaleberg skole,Ja,Ja,Ja,
2016-11-26,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-11-27,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-11-28,Kvaleberg skole,Ja,Ja,Ja,
2016-11-29,Kvaleberg skole,Ja,Ja,Ja,
2016-11-30,Kvaleberg skole,Ja,Ja,Ja,
2016-12-01,Kvaleberg skole,Ja,Ja,Ja,
2016-12-02,Kvaleberg skole,Ja,Ja,Ja,
2016-12-03,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-12-04,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-12-05,Kvaleberg skole,Ja,Ja,Ja,
2016-12-06,Kvaleberg skole,Ja,Ja,Ja,
2016-12-07,Kvaleberg skole,Ja,Ja,Ja,
2016-12-08,Kvaleberg skole,Ja,Ja,Ja,
2016-12-09,Kvaleberg skole,Ja,Ja,Ja,
2016-12-10,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-12-11,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-12-12,Kvaleberg skole,Ja,Ja,Ja,
2016-12-13,Kvaleberg skole,Ja,Ja,Ja,
2016-12-14,Kvaleberg skole,Ja,Ja,Ja,
2016-12-15,Kvaleberg skole,Ja,Ja,Ja,
2016-12-16,Kvaleberg skole,Ja,Ja,Ja,
2016-12-17,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-12-18,Kvaleberg skole,Nei,Nei,Nei,Søndag
2016-12-19,Kvaleberg skole,Ja,Ja,Ja,
2016-12-20,Kvaleberg skole,Ja,Ja,Ja,
2016-12-21,Kvaleberg skole,Ja,Ja,Ja,
2016-12-22,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-23,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-24,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2016-12-25,Kvaleberg skole,Nei,Nei,Nei,1. juledag
2016-12-26,Kvaleberg skole,Nei,Nei,Nei,2. juledag
2016-12-27,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-28,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-29,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-30,Kvaleberg skole,Nei,Nei,Ja,Juleferie
2016-12-31,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-01-01,Kvaleberg skole,Nei,Nei,Nei,1. Nyttårsdag
2017-01-02,Kvaleberg skole,Ja,Ja,Ja,
2017-01-03,Kvaleberg skole,Ja,Ja,Ja,
2017-01-04,Kvaleberg skole,Ja,Ja,Ja,
2017-01-05,Kvaleberg skole,Ja,Ja,Ja,
2017-01-06,Kvaleberg skole,Ja,Ja,Ja,
2017-01-07,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-01-08,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-01-09,Kvaleberg skole,Ja,Ja,Ja,
2017-01-10,Kvaleberg skole,Ja,Ja,Ja,
2017-01-11,Kvaleberg skole,Ja,Ja,Ja,
2017-01-12,Kvaleberg skole,Ja,Ja,Ja,
2017-01-13,Kvaleberg skole,Ja,Ja,Ja,
2017-01-14,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-01-15,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-01-16,Kvaleberg skole,Ja,Ja,Ja,
2017-01-17,Kvaleberg skole,Ja,Ja,Ja,
2017-01-18,Kvaleberg skole,Ja,Ja,Ja,
2017-01-19,Kvaleberg skole,Ja,Ja,Ja,
2017-01-20,Kvaleberg skole,Ja,Ja,Ja,
2017-01-21,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-01-22,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-01-23,Kvaleberg skole,Ja,Ja,Ja,
2017-01-24,Kvaleberg skole,Ja,Ja,Ja,
2017-01-25,Kvaleberg skole,Ja,Ja,Ja,
2017-01-26,Kvaleberg skole,Ja,Ja,Ja,
2017-01-27,Kvaleberg skole,Ja,Ja,Ja,
2017-01-28,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-01-29,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-01-30,Kvaleberg skole,Ja,Ja,Ja,
2017-01-31,Kvaleberg skole,Ja,Ja,Ja,
2017-02-01,Kvaleberg skole,Ja,Ja,Ja,
2017-02-02,Kvaleberg skole,Ja,Ja,Ja,
2017-02-03,Kvaleberg skole,Ja,Ja,Ja,
2017-02-04,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-02-05,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-02-06,Kvaleberg skole,Ja,Ja,Ja,
2017-02-07,Kvaleberg skole,Ja,Ja,Ja,
2017-02-08,Kvaleberg skole,Ja,Ja,Ja,
2017-02-09,Kvaleberg skole,Ja,Ja,Ja,
2017-02-10,Kvaleberg skole,Ja,Ja,Ja,
2017-02-11,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-02-12,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-02-13,Kvaleberg skole,Ja,Ja,Ja,
2017-02-14,Kvaleberg skole,Ja,Ja,Ja,
2017-02-15,Kvaleberg skole,Ja,Ja,Ja,
2017-02-16,Kvaleberg skole,Ja,Ja,Ja,
2017-02-17,Kvaleberg skole,Ja,Ja,Ja,
2017-02-18,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-02-19,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-02-20,Kvaleberg skole,Ja,Ja,Ja,
2017-02-21,Kvaleberg skole,Ja,Ja,Ja,
2017-02-22,Kvaleberg skole,Ja,Ja,Ja,
2017-02-23,Kvaleberg skole,Ja,Ja,Ja,
2017-02-24,Kvaleberg skole,Ja,Ja,Ja,
2017-02-25,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-02-26,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-02-27,Kvaleberg skole,Nei,Nei,Ja,Vinterferie
2017-02-28,Kvaleberg skole,Nei,Nei,Ja,Vinterferie
2017-03-01,Kvaleberg skole,Nei,Nei,Ja,Vinterferie
2017-03-02,Kvaleberg skole,Nei,Nei,Ja,Vinterferie
2017-03-03,Kvaleberg skole,Nei,Nei,Ja,Vinterferie
2017-03-04,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-03-05,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-03-06,Kvaleberg skole,Ja,Ja,Ja,
2017-03-07,Kvaleberg skole,Ja,Ja,Ja,
2017-03-08,Kvaleberg skole,Ja,Ja,Ja,
2017-03-09,Kvaleberg skole,Ja,Ja,Ja,
2017-03-10,Kvaleberg skole,Ja,Ja,Ja,
2017-03-11,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-03-12,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-03-13,Kvaleberg skole,Ja,Ja,Ja,
2017-03-14,Kvaleberg skole,Ja,Ja,Ja,
2017-03-15,Kvaleberg skole,Ja,Ja,Ja,
2017-03-16,Kvaleberg skole,Ja,Ja,Ja,
2017-03-17,Kvaleberg skole,Ja,Ja,Ja,
2017-03-18,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-03-19,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-03-20,Kvaleberg skole,Ja,Ja,Ja,
2017-03-21,Kvaleberg skole,Ja,Ja,Ja,
2017-03-22,Kvaleberg skole,Ja,Ja,Ja,
2017-03-23,Kvaleberg skole,Ja,Ja,Ja,
2017-03-24,Kvaleberg skole,Ja,Ja,Ja,
2017-03-25,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-03-26,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-03-27,Kvaleberg skole,Ja,Ja,Ja,
2017-03-28,Kvaleberg skole,Ja,Ja,Ja,
2017-03-29,Kvaleberg skole,Ja,Ja,Ja,
2017-03-30,Kvaleberg skole,Ja,Ja,Ja,
2017-03-31,Kvaleberg skole,Ja,Ja,Ja,
2017-04-01,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-04-02,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-04-03,Kvaleberg skole,Ja,Ja,Ja,
2017-04-04,Kvaleberg skole,Ja,Ja,Ja,
2017-04-05,Kvaleberg skole,Ja,Ja,Ja,
2017-04-06,Kvaleberg skole,Ja,Ja,Ja,
2017-04-07,Kvaleberg skole,Ja,Ja,Ja,
2017-04-08,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-04-09,Kvaleberg skole,Nei,Nei,Nei,Palmesøndag
2017-04-10,Kvaleberg skole,Nei,Nei,Ja,Påskeferie
2017-04-11,Kvaleberg skole,Nei,Nei,Ja,Påskeferie
2017-04-12,Kvaleberg skole,Nei,Nei,Ja,Påskeferie
2017-04-13,Kvaleberg skole,Nei,Nei,Nei,Skjærtorsdag
2017-04-14,Kvaleberg skole,Nei,Nei,Nei,Langfredag
2017-04-15,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-04-16,Kvaleberg skole,Nei,Nei,Nei,1. påskedag
2017-04-17,Kvaleberg skole,Nei,Nei,Nei,2. påskedag
2017-04-18,Kvaleberg skole,Ja,Ja,Ja,
2017-04-19,Kvaleberg skole,Ja,Ja,Ja,
2017-04-20,Kvaleberg skole,Ja,Ja,Ja,
2017-04-21,Kvaleberg skole,Ja,Ja,Ja,
2017-04-22,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-04-23,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-04-24,Kvaleberg skole,Ja,Ja,Ja,
2017-04-25,Kvaleberg skole,Ja,Ja,Ja,
2017-04-26,Kvaleberg skole,Ja,Ja,Ja,
2017-04-27,Kvaleberg skole,Ja,Ja,Ja,
2017-04-28,Kvaleberg skole,Ja,Ja,Ja,
2017-04-29,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-04-30,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-05-01,Kvaleberg skole,Nei,Nei,Nei,Off. Høytidsdag
2017-05-02,Kvaleberg skole,Ja,Ja,Ja,
2017-05-03,Kvaleberg skole,Ja,Ja,Ja,
2017-05-04,Kvaleberg skole,Ja,Ja,Ja,
2017-05-05,Kvaleberg skole,Ja,Ja,Ja,
2017-05-06,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-05-07,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-05-08,Kvaleberg skole,Ja,Ja,Ja,
2017-05-09,Kvaleberg skole,Ja,Ja,Ja,
2017-05-10,Kvaleberg skole,Ja,Ja,Ja,
2017-05-11,Kvaleberg skole,Ja,Ja,Ja,
2017-05-12,Kvaleberg skole,Ja,Ja,Ja,
2017-05-13,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-05-14,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-05-15,Kvaleberg skole,Ja,Ja,Ja,
2017-05-16,Kvaleberg skole,Ja,Ja,Ja,
2017-05-17,Kvaleberg skole,Nei,Nei,Nei,Grunnlovsdag
2017-05-18,Kvaleberg skole,Ja,Ja,Ja,
2017-05-19,Kvaleberg skole,Ja,Ja,Ja,
2017-05-20,Kvaleberg skole,Nei,Nei,Nei,Lørdag
2017-05-21,Kvaleberg skole,Nei,Nei,Nei,Søndag
2017-05-22,Kvaleberg skole,Ja,Ja,Ja,
2017-05-23,Kvaleberg skole,Ja,Ja,Ja,
