Dato,Skole ,Elevdag ,SFOdag ,Kommentar 
17.12.2016,Solås skole ,Nei,Nei,Lørdag 
18.12.2016,Solås skole ,Nei,Nei,Søndag 
19.12.2016,Solås skole ,Ja,Ja,1
20.12.2016,Solås skole ,Ja,Ja,1
21.12.2016,Solås skole ,Nei,Ja,Juleferie
22.12.2016,Solås skole ,Nei,Ja,Juleferie
23.12.2016,Solås skole ,Nei,Ja,Juleferie
24.12.2016,Solås skole ,Nei,Nei,Lørdag 
25.12.2016,Solås skole ,Nei,Nei,Søndag 
26.12.2016,Solås skole ,Nei,Nei,2.juledag
27.12.2016,Solås skole ,Nei,Ja,Juleferie
28.12.2016,Solås skole ,Nei,Ja,Juleferie
29.12.2016,Solås skole ,Nei,Ja,Juleferie
30.12.2016,Solås skole ,Nei,Ja,Juleferie
31.12.2016,Solås skole ,Nei,Nei,Lørdag 
01.01.2017,Solås skole ,Nei,Nei,Søndag 
02.01.2017,Solås skole ,Ja,Ja,1
03.01.2017,Solås skole ,Ja,Ja,1
04.01.2017,Solås skole ,Ja,Ja,1
05.01.2017,Solås skole ,Ja,Ja,1
06.01.2017,Solås skole ,Ja,Ja,1
07.01.2017,Solås skole ,Nei,Nei,Lørdag 
08.01.2017,Solås skole ,Nei,Nei,Søndag 
09.01.2017,Solås skole ,Ja,Ja,1
10.01.2017,Solås skole ,Ja,Ja,1
11.01.2017,Solås skole ,Ja,Ja,1
12.01.2017,Solås skole ,Ja,Ja,1
13.01.2017,Solås skole ,Ja,Ja,1
14.01.2017,Solås skole ,Nei,Nei,Lørdag 
15.01.2017,Solås skole ,Nei,Nei,Søndag 
16.01.2017,Solås skole ,Ja,Ja,1
17.01.2017,Solås skole ,Ja,Ja,1
18.01.2017,Solås skole ,Ja,Ja,1
19.01.2017,Solås skole ,Ja,Ja,1
20.01.2017,Solås skole ,Ja,Ja,1
21.01.2017,Solås skole ,Nei,Nei,Lørdag 
22.01.2017,Solås skole ,Nei,Nei,Søndag 
23.01.2017,Solås skole ,Ja,Ja,1
24.01.2017,Solås skole ,Ja,Ja,1
25.01.2017,Solås skole ,Ja,Ja,1
26.01.2017,Solås skole ,Ja,Ja,1
27.01.2017,Solås skole ,Ja,Ja,1
28.01.2017,Solås skole ,Nei,Nei,Lørdag 
29.01.2017,Solås skole ,Nei,Nei,Søndag 
30.01.2017,Solås skole ,Ja,Ja,1
